name,organisation,country,url,url_api,description,location,has_issue,issue_type,code_en
AAbrooks WAT,AAbrooks WAT,United States,http://aabrooks2.dcdev.opendata.arcgis.com,,Arcgis OpenData Portal,"38.9973933555, -77.4015540771",TRUE,,United States - AAbrooks WAT
Aachen Open Data,Germany,Germany,http://offenedaten.aachen.de/,,Aachen Open Data,"50.7753, 6.0839",,,Germany - Aachen Open Data
Aalborg OD,Aalborg OD,Denmark,http://aalborg.gis2dk.opendata.arcgis.com,,Arcgis OpenData Portal,"56.9896596547, 9.95711272331",,,Denmark - Aalborg OD
Aarhus,Aarhus,Denmark,http://www.odaa.dk/,,,"56.1781797, 10.1117591",,,Denmark - Aarhus
Aarhus GIS,Aarhus GIS,Denmark,http://data.aarhusgis.opendata.arcgis.com,,Arcgis OpenData Portal,"56.1793808784, 10.191",,,Denmark - Aarhus GIS
Aberdeen City Open Data  Portal,United Kingdom,United Kingdom,http://opendata.aberdeencity.gov.uk,,,"57.1526, -2.11",TRUE,,United Kingdom - Aberdeen City Open Data  Portal
Aberdeenshire,Aberdeenshire,United Kingdom,http://92.52.88.74/OpenData/Default.aspx,,,"57.223691, -3.3434432",TRUE,,United Kingdom - Aberdeenshire
Abre Puerto Rico,Puerto Rico,United States,http://abrepr.org/,,,"18.45, -66.1",,,United States - Abre Puerto Rico
ABS Statistics,Australian Bureau of Statistics,Australia,http://www.abs.gov.au/ausstats,,Access the full range of ABS statistical and reference information.,"-23.033333, 133.416667",,,Australia - ABS Statistics
Ada County Highway District,Ada County Highway District,United States,http://maps.achd.opendata.arcgis.com,,Arcgis OpenData Portal,"43.5464463626, -116.25199873",,,United States - Ada County Highway District
"Adams County, Co - Gis",United States,United States,http://co.adams.co.us/index.aspx?nid=1183,,,"39.87, -104.35",,,"United States - Adams County, Co - Gis"
Adelaide City Council Data,Adelaide City Council,Australia,http://data.sa.gov.au/data/organization/adelaide-city-council,,Adelaide City Council,"-34.926127, 138.600111",,,Australia - Adelaide City Council Data
Administration De L'aéroport De Luxembourg,Luxembourg,Luxembourg,http://aeroport.lu/,,,"49.6, 6.1167",,,Luxembourg - Administration De L'aéroport De Luxembourg
Administration Of Roads And Bridges - Grand Duchy Of Luxembourg,Luxembourg,Luxembourg,http://pch.public.lu,,,"49.6, 6.1167",,,Luxembourg - Administration Of Roads And Bridges - Grand Duchy Of Luxembourg
Administrative Map,Cameroon,Cameroon,http://minatd.cm/gov/site/en/le-ministere/a-propos/carte-administrative,,,"3.8667, 11.5167",,,Cameroon - Administrative Map
Adur,Adur,United Kingdom,http://www.adur-worthing.gov.uk/about-the-councils/open-data/,,,"50.8460039, -0.3284517",,,United Kingdom - Adur
Afganistan Open Data Project,Afghanistan,Afghanistan,http://afghanistandataproject.org,,,"34.5333, 69.1333",,,Afghanistan - Afganistan Open Data Project
African Development Bank Group Open Data,Cabo Verde,Cabo Verde,http://caboverde.opendataforafrica.org/,,,"15.1111, -23.6167",,,Cabo Verde - African Development Bank Group Open Data
African Development Bank Group Open Data,Guinea-bissau,Guinea-Bissau,http://guineab.opendataforafrica.org/,,,"12.0, -15.0",,,Guinea-Bissau - African Development Bank Group Open Data
African Development Bank Group Open Data,Zimbabwe,Zimbabwe,http://zimbabwe.opendataforafrica.org/,,,"-17.8333, 31.05",,,Zimbabwe - African Development Bank Group Open Data
African Development Bank Group Open Data,Mauritania,Mauritania,http://mauritania.opendataforafrica.org/,,,"18.15, -15.9667",,,Mauritania - African Development Bank Group Open Data
African Development Bank Group Open Data,Gabon,Gabon,http://gabon.opendataforafrica.org/,,,"0.3833, 9.45",,,Gabon - African Development Bank Group Open Data
African Development Bank Group Open Data,Togo,Togo,http://togo.opendataforafrica.org/,,,"6.1167, 1.2167",,,Togo - African Development Bank Group Open Data
African Development Bank Group Open Data,Mali,Mali,http://mali.opendataforafrica.org/,,,"12.65, -8.0",,,Mali - African Development Bank Group Open Data
African Development Bank Group Open Data,South Sudan,South Sudan,http://southsudan.opendataforafrica.org/,,,"4.85, 31.6",,,South Sudan - African Development Bank Group Open Data
African Development Bank Group Open Data,South Africa,South Africa,http://southafrica.opendataforafrica.org/,,,"-30.0, 25.0",,,South Africa - African Development Bank Group Open Data
African Development Bank Group Open Data,Somalia,Somalia,http://somalia.opendataforafrica.org/,,,"2.0333, 45.35",,,Somalia - African Development Bank Group Open Data
